location,date,startTime,endTime,distance,equipment,leg,duration
"JACKSONVILLE, FL","05/07","13:08 EDT","22:40 EDT","250-500 mi","53' Trailer","One-way","9h 32m"
"JACKSONVILLE, FL","05/07","13:24 EDT","14:31 EDT","≤ 50 mi","53' Trailer","One-way","1h 7m"
"JACKSONVILLE, FL","05/07","13:24 EDT","14:41 EDT","≤ 50 mi","53' Trailer","One-way","1h 17m"
"OPA LOCKA, FL","05/07","15:13 EDT","05/08 01:08 EDT","250-500 mi","53' Trailer","One-way","9h 55m"
"OPA LOCKA, FL","05/07","16:08 EDT","05/08 02:03 EDT","250-500 mi","53' Trailer","One-way","9h 55m"
"POOLER, GA","05/07","16:30 EDT","22:22 EDT","250-500 mi","53' Trailer","One-way","5h 52m"
"OPA LOCKA, FL","05/07","17:08 EDT","05/08 01:01 EDT","250-500 mi","53' Trailer","One-way","7h 53m"
"ORLANDO, FL","05/07","17:24 EDT","21:17 EDT","100-250 mi","53' Trailer","One-way","3h 53m"
"DAYTONA BEACH, FL","05/07","17:24 EDT","20:21 EDT","100-250 mi","53' Trailer","One-way","2h 57m"
"JUPITER, FL","05/07","18:37 EDT","23:10 EDT","100-250 mi","53' Trailer","One-way","4h 33m"
"DAVENPORT, FL","05/07","19:36 EDT","21:46 EDT","50-100 mi","53' Trailer","One-way","2h 10m"
"TALLAHASSEE, FL","05/07","19:45 EDT","05/08 02:10 EDT","250-500 mi","53' Trailer","One-way","6h 25m"
"GIBSONTON, Florida","05/07","19:47 EDT","23:06 EDT","100-250 mi","53' Trailer","One-way","3h 19m"
"JUPITER, FL","05/07","20:13 EDT","05/08 00:23 EDT","100-250 mi","53' Trailer","One-way","4h 10m"
"FORT MYERS, FL","05/07","20:13 EDT","05/08 00:25 EDT","100-250 mi","53' Trailer","One-way","4h 12m"
"POOLER, GA","05/07","20:13 EDT","21:16 EDT","≤ 50 mi","53' Container","One-way","1h 3m"
"TALLAHASSEE, FL","05/07","21:13 EDT","05/08 00:41 EDT","100-250 mi","53' Container","One-way","3h 28m"
"JACKSONVILLE, Florida","05/07","22:00 EDT","05/08 02:37 EDT","50-100 mi","53' Trailer","One-way","4h 37m"
"FORT MYERS, Florida","05/07","22:13 EDT","05/08 03:51 EDT","100-250 mi","53' Trailer","One-way","5h 38m"
"ORLANDO, FL","05/07","23:13 EDT","05/08 00:36 EDT","≤ 50 mi","53' Trailer","One-way","1h 23m"
"JACKSONVILLE, Florida","05/07","23:30 EDT","05/08 06:05 EDT","100-250 mi","26'","One-way","6h 35m"
"TALLAHASSEE, FL","05/07","23:30 EDT","05/08 05:32 EDT","250-500 mi","53' Trailer","One-way","6h 2m"
"SARASOTA, FL","05/08","01:13 EDT","02:36 EDT","≤ 50 mi","53' Trailer","One-way","1h 23m"
"FORT MYERS, Florida","05/08","01:15 EDT","02:42 EDT","≤ 50 mi","53' Trailer","One-way","1h 27m"
"PORT SAINT LUCIE, FL","05/08","01:24 EDT","05:06 EDT","100-250 mi","53' Container","One-way","3h 42m"
"DELTONA, Florida","05/08","01:45 EDT","07:06 EDT","100-250 mi","53' Trailer","One-way","5h 21m"
"JACKSONVILLE, FL","05/08","02:14 EDT","13:58 EDT","250-500 mi","53' Container","One-way","11h 44m"
"DAVENPORT, FL","05/08","02:15 EDT","06:24 EDT","100-250 mi","53' Trailer","One-way","4h 9m"
"NAPLES, FL","05/08","02:42 EDT","07:10 EDT","100-250 mi","53' Trailer","One-way","4h 28m"
"DELTONA, Florida","05/08","02:45 EDT","07:44 EDT","100-250 mi","53' Trailer","One-way","4h 59m"
"DELTONA, Florida","05/08","02:45 EDT","08:37 EDT","250-500 mi","53' Trailer","One-way","5h 52m"
"DELTONA, Florida","05/08","02:45 EDT","10:30 EDT","250-500 mi","53' Trailer","One-way","7h 45m"
"POOLER, GA","05/08","02:57 EDT","08:23 EDT","100-250 mi","53' Trailer","One-way","5h 26m"
"JACKSONVILLE, FL","05/08","03:08 EDT","04:50 EDT","≤ 50 mi","53' Trailer","One-way","1h 42m"
"MELBOURNE, FL","05/08","03:08 EDT","08:55 EDT","100-250 mi","53' Trailer","One-way","5h 47m"
"BOCA RATON, FL","05/08","03:08 EDT","12:40 EDT","250-500 mi","53' Trailer","One-way","9h 32m"
"CLEARWATER, FL","05/08","03:08 EDT","09:14 EDT","100-250 mi","53' Trailer","One-way","6h 6m"
"SEFFNER, FL","05/08","03:08 EDT","08:50 EDT","250-500 mi","53' Trailer","One-way","5h 42m"
"JACKSONVILLE, FL","05/08","04:00 EDT","13:09 EDT","250-500 mi","53' Trailer","One-way","9h 9m"
"AUBURNDALE, FL","05/08","04:45 EDT","11:04 EDT","100-250 mi","53' Trailer","One-way","6h 19m"
"JUPITER, FL","05/08","04:56 EDT","08:30 EDT","50-100 mi","53' Container","One-way","3h 34m"
"JACKSONVILLE, Florida","05/08","05:07 EDT","15:15 EDT","250-500 mi","53' Trailer","One-way","10h 8m"
"PEMBROKE PARK, FL","05/08","05:08 EDT","12:41 EDT","250-500 mi","53' Trailer","One-way","7h 33m"
"PEMBROKE PARK, FL","05/08","05:08 EDT","13:23 EDT","250-500 mi","53' Trailer","One-way","8h 15m"
"JACKSONVILLE, FL","05/08","06:54 EDT","05/09 00:31 EDT","100-250 mi","53' Trailer","One-way","17h 37m"
"JACKSONVILLE, FL","05/08","09:00 EDT","17:04 EDT","250-500 mi","53' Trailer","One-way","8h 4m"
"DAVENPORT, FL","05/08","09:15 EDT","16:00 EDT","100-250 mi","26'","One-way","6h 45m"
"COCOA, FL","05/08","10:15 EDT","18:18 EDT","250-500 mi","53' Trailer","One-way","8h 3m"
"JACKSONVILLE, FL","05/08","10:45 EDT","18:46 EDT","250-500 mi","53' Trailer","One-way","8h 1m"